#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-20T11:33:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632999b530aaa9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50&HTTPPRM:&&-ref=VIZ632999b530aaa9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=SpType&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
HR	Name	RAJ2000	DEJ2000	Vmag	SpType
 	 	"h:m:s"	"d:m:s"	mag	
----	----------	----------	---------	-----	--------------------
   1	          	00 05 09.9	+45 13 45	 6.70	  A1Vn
   2	          	00 05 03.8	-00 30 11	 6.29	 gG9
   3	 33    Psc	00 05 20.1	-05 42 27	 4.61	  K0IIIbCN-0.5
   4	 86    Peg	00 05 42.0	+13 23 46	 5.51	  G5III
   5	          	00 06 16.0	+58 26 12	 5.96	  G5V
   6	          	00 06 19.0	-49 04 30	 5.70	  G1IV
   7	 10    Cas	00 06 26.5	+64 11 46	 5.59	  B9III
   8	          	00 06 36.8	+29 01 17	 6.13	  K0V
   9	          	00 06 50.1	-23 06 27	 6.18	  A7V
  10	          	00 07 18.2	-17 23 11	 6.19	  A6Vn
  11	          	00 07 44.1	-02 32 56	 6.43	  B8IIIpSi
  12	          	00 07 46.8	-22 30 32	 5.94	  A2Vp:
  13	          	00 08 03.5	-33 31 46	 5.68	  K1III
  14	          	00 08 12.1	-02 26 52	 6.07	  K2III+F
  15	 21Alp And	00 08 23.3	+29 05 26	 2.06	  B8IVpMnHg
  16	          	00 08 17.4	-08 49 26	 5.99	 gG8
  17	          	00 08 41.0	+36 37 36	 6.19	  F8IV
  18	          	00 08 33.4	-17 34 39	 6.06	  M0III
  19	          	00 08 52.2	+25 27 46	 6.23	  K0III
  20	          	00 09 20.2	+79 42 53	 6.01	  A7IV
  21	 11Bet Cas	00 09 10.7	+59 08 59	 2.27	  F2III-IV
  22	 87    Peg	00 09 02.4	+18 12 43	 5.53	  G9III
  23	          	00 09 02.4	-54 00 07	 6.33	  G4IV
  24	   Kap1Scl	00 09 21.0	-27 59 16	 5.42	  F2V
  25	   Eps Phe	00 09 24.7	-45 44 51	 3.88	  K0III
  26	 34    Psc	00 10 02.3	+11 08 44	 5.51	  B9Vn
  27	 22    And	00 10 19.3	+46 04 20	 5.03	  F2II
  28	          	00 10 29.7	+57 09 56	 6.74	  B7IV
  29	          	00 10 18.8	-05 14 55	 5.84	  K1III
